IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
1,6/5/2024,1,1,Televisor curvo,2,1300,2600
1,6/6/2024,2,2,Lavasecadora integrada,1,1000,1000
1,6/7/2024,3,3,Refrigerador compacto,3,700,2100
1,6/8/2024,4,4,Cocina de inducción,2,850,1700
1,6/9/2024,5,5,Robot limpiador,1,300,300
2,6/10/2024,1,1,Televisor QLED,3,1500,4500
2,6/11/2024,2,2,Lavadora de carga frontal,2,700,1400
2,6/12/2024,3,3,Refrigerador de una puerta,1,1100,1100
2,6/13/2024,4,4,Cocina eléctrica con horno,4,900,3600
2,6/14/2024,5,5,Aspiradora vertical,2,400,800
